pit_duration,lap_number,driver_number,date,session_key,meeting_key
363.3,10.0,18,2024-09-20T13:26:00.021000+00:00,9600,1246
296.8,9.0,11,2024-09-20T13:26:33.353000+00:00,9600,1246
524.9,9.0,14,2024-09-20T13:26:39.236000+00:00,9600,1246
311.3,11.0,55,2024-09-20T13:27:15.161000+00:00,9600,1246
32.4,11.0,81,2024-09-20T13:28:52.194000+00:00,9600,1246
35.1,11.0,10,2024-09-20T13:28:57.488000+00:00,9600,1246
33.6,12.0,63,2024-09-20T13:29:08.084000+00:00,9600,1246
24.5,11.0,27,2024-09-20T13:29:23.538000+00:00,9600,1246
214.1,11.0,43,2024-09-20T13:29:46.150000+00:00,9600,1246
278.6,11.0,23,2024-09-20T13:30:18.843000+00:00,9600,1246
34.6,13.0,16,2024-09-20T13:30:21.675000+00:00,9600,1246
378.5,9.0,44,2024-09-20T13:30:27.313000+00:00,9600,1246
38.9,12.0,24,2024-09-20T13:32:43.935000+00:00,9600,1246
38.3,12.0,11,2024-09-20T13:33:09.669000+00:00,9600,1246
54.9,12.0,14,2024-09-20T13:33:35.871000+00:00,9600,1246
32.1,14.0,55,2024-09-20T13:33:57.638000+00:00,9600,1246
350.5,11.0,4,2024-09-20T13:34:16.552000+00:00,9600,1246
263.2,12.0,1,2024-09-20T13:37:15.868000+00:00,9600,1246
339.2,14.0,63,2024-09-20T13:38:36.745000+00:00,9600,1246
363.2,12.0,3,2024-09-20T13:39:23.364000+00:00,9600,1246
329.2,14.0,81,2024-09-20T13:40:13.513000+00:00,9600,1246
435.4,13.0,27,2024-09-20T13:40:31.461000+00:00,9600,1246
336.4,14.0,10,2024-09-20T13:40:36.296000+00:00,9600,1246
346.5,15.0,22,2024-09-20T13:40:56.481000+00:00,9600,1246
506.8,14.0,77,2024-09-20T13:41:05.228000+00:00,9600,1246
278.7,14.0,31,2024-09-20T13:41:26.891000+00:00,9600,1246
336.9,14.0,23,2024-09-20T13:41:40.701000+00:00,9600,1246
338.6,16.0,16,2024-09-20T13:41:48.011000+00:00,9600,1246
337.2,12.0,44,2024-09-20T13:41:52.131000+00:00,9600,1246
50.5,15.0,4,2024-09-20T13:41:54.250000+00:00,9600,1246
395.3,14.0,43,2024-09-20T13:42:09.165000+00:00,9600,1246
348.2,14.0,20,2024-09-20T13:42:16.262000+00:00,9600,1246
29.6,15.0,77,2024-09-20T13:43:34.109000+00:00,9600,1246
30.1,16.0,81,2024-09-20T13:44:13.542000+00:00,9600,1246
347.6,15.0,24,2024-09-20T13:44:18.647000+00:00,9600,1246
30.1,15.0,43,2024-09-20T13:44:30.398000+00:00,9600,1246
311.5,15.0,14,2024-09-20T13:44:50.897000+00:00,9600,1246
288.8,17.0,55,2024-09-20T13:44:57.497000+00:00,9600,1246
430.9,15.0,11,2024-09-20T13:45:58.348000+00:00,9600,1246
315.6,14.0,1,2024-09-20T13:46:17.736000+00:00,9600,1246
30.0,16.0,24,2024-09-20T13:46:33.718000+00:00,9600,1246
531.7,17.0,18,2024-09-20T13:49:28.095000+00:00,9600,1246
52.7,20.0,81,2024-09-20T13:51:39.121000+00:00,9600,1246
30.5,24.0,4,2024-09-20T13:57:26.377000+00:00,9600,1246
29.3,24.0,23,2024-09-20T13:58:58.766000+00:00,9600,1246
,1.0,14,2024-09-21T09:32:22.304000+00:00,9601,1246
,1.0,18,2024-09-21T09:32:24.991000+00:00,9601,1246
31.9,2.0,14,2024-09-21T09:34:53.544000+00:00,9601,1246
31.7,2.0,18,2024-09-21T09:35:03.032000+00:00,9601,1246
30.2,3.0,14,2024-09-21T09:37:22.028000+00:00,9601,1246
29.9,3.0,18,2024-09-21T09:37:37.634000+00:00,9601,1246
,1.0,31,2024-09-21T09:42:09.083000+00:00,9601,1246
,1.0,77,2024-09-21T09:42:15.197000+00:00,9601,1246
,1.0,10,2024-09-21T09:42:24.247000+00:00,9601,1246
319.2,4.0,18,2024-09-21T09:42:26.878000+00:00,9601,1246
345.2,4.0,14,2024-09-21T09:42:37.079000+00:00,9601,1246
,1.0,55,2024-09-21T09:42:40.311000+00:00,9601,1246
,1.0,16,2024-09-21T09:42:48.831000+00:00,9601,1246
,1.0,24,2024-09-21T09:42:55.337000+00:00,9601,1246
,1.0,22,2024-09-21T09:43:02.190000+00:00,9601,1246
,1.0,81,2024-09-21T09:43:08.350000+00:00,9601,1246
,1.0,11,2024-09-21T09:43:15.299000+00:00,9601,1246
,1.0,44,2024-09-21T09:43:39.567000+00:00,9601,1246
,1.0,63,2024-09-21T09:44:00.715000+00:00,9601,1246
,1.0,1,2024-09-21T09:45:59.998000+00:00,9601,1246
,1.0,4,2024-09-21T09:46:07.155000+00:00,9601,1246
,1.0,27,2024-09-21T09:46:09.973000+00:00,9601,1246
,1.0,23,2024-09-21T09:46:39.996000+00:00,9601,1246
,1.0,3,2024-09-21T09:47:54.998000+00:00,9601,1246
,1.0,20,2024-09-21T09:48:28.497000+00:00,9601,1246
,1.0,43,2024-09-21T09:50:49.606000+00:00,9601,1246
432.8,4.0,77,2024-09-21T09:55:11.909000+00:00,9601,1246
76.8,6.0,44,2024-09-21T09:56:08.889000+00:00,9601,1246
24.3,6.0,1,2024-09-21T09:56:25.148000+00:00,9601,1246
90.8,4.0,20,2024-09-21T09:56:28.585000+00:00,9601,1246
38.4,7.0,24,2024-09-21T09:56:50.089000+00:00,9601,1246
299.9,9.0,18,2024-09-21T09:57:42.029000+00:00,9601,1246
134.5,4.0,43,2024-09-21T09:58:55.620000+00:00,9601,1246
391.9,9.0,14,2024-09-21T09:59:03.214000+00:00,9601,1246
302.2,8.0,55,2024-09-21T10:02:27.994000+00:00,9601,1246
