brake,date,driver_number,drs,meeting_key,n_gear,rpm,session_key,speed,throttle
0,2024-02-29T11:35:40.774000+00:00,22,12,1229,8,10860,9465,305,100
0,2024-02-29T11:39:44.055000+00:00,22,12,1229,8,10860,9465,307,100
100,2024-02-29T11:43:29.256000+00:00,23,8,1229,8,9799,9465,309,0
0,2024-02-29T12:15:26.622000+00:00,23,12,1229,8,10886,9465,305,100
0,2024-02-29T11:48:00.177000+00:00,23,12,1229,8,10772,9465,301,100
0,2024-02-29T11:53:03.298000+00:00,23,12,1229,8,10928,9465,305,100
0,2024-02-29T11:53:05.498000+00:00,23,12,1229,8,10901,9465,309,100
0,2024-02-29T12:16:29.262000+00:00,23,8,1229,8,10741,9465,300,100
0,2024-02-29T11:53:02.137000+00:00,23,12,1229,8,10755,9465,301,100
0,2024-02-29T12:11:09.941000+00:00,23,12,1229,8,11188,9465,312,100
0,2024-02-29T12:22:36.463000+00:00,23,12,1229,8,10728,9465,301,100
0,2024-02-29T11:53:58.858000+00:00,23,12,1229,8,10740,9465,300,100
0,2024-02-29T11:48:48.217000+00:00,24,12,1229,8,10765,9465,306,100
0,2024-02-29T12:13:53.342000+00:00,24,12,1229,8,10881,9465,306,100
0,2024-02-29T12:13:54.542000+00:00,24,12,1229,8,10775,9465,303,100
0,2024-02-29T11:52:43.738000+00:00,24,12,1229,8,10648,9465,300,100
0,2024-02-29T11:48:48.457000+00:00,24,12,1229,8,10785,9465,306,100
0,2024-02-29T12:13:51.661000+00:00,24,12,1229,8,10708,9465,301,100
0,2024-02-29T12:20:41.463000+00:00,24,12,1229,8,10959,9465,306,100
0,2024-02-29T12:20:40.544000+00:00,24,12,1229,8,10855,9465,305,100
0,2024-02-29T12:13:52.502000+00:00,24,12,1229,8,10814,9465,303,100
0,2024-02-29T12:14:09.582000+00:00,24,12,1229,8,10632,9465,300,100
0,2024-02-29T11:46:09.377000+00:00,27,12,1229,8,11009,9465,310,100
0,2024-02-29T11:46:09.217000+00:00,27,12,1229,8,10995,9465,308,100
0,2024-02-29T11:46:08.377000+00:00,27,12,1229,8,10851,9465,304,100
0,2024-02-29T11:46:08.097000+00:00,27,12,1229,8,10769,9465,303,100
